YEAR AS CUSTOMER,age,policy_number,policy_bind_date,policy_state,policy_csl,policy_deductable,policy_annual_premium,umbrella_limit,insured_sex,insured_education_level,insured_occupation,insured_hobbies,incident_date,incident_type,collision_type,incident_state,incident_city,incident_location,incident_hour_of_the_day,total_claim_amount,injury_claim,property_claim,vehicle_claim,auto_make,auto_model,auto_year
30.17,50,114839,1/1/2006,IL,250/500,500,1198.34,4000000,MALE,Associate,sales,board-games,1/7/2015,Multi-vehicle Collision,Side Collision,NY,Columbus,8655 Cherokee Lane,17,57060,6340,6340,44380,Mercedes,E400,1995
20.08,38,872734,5/19/1990,IN,100/300,2000,1003.23,0,FEMALE,Associate,tech-support,kayaking,1/17/2015,Multi-vehicle Collision,Side Collision,VA,Arlington,4955 Lincoln Ridge,23,77880,12980,12980,51920,Accura,MDX,2008
20.42,41,267885,8/26/2013,IN,500/1000,2000,1212,0,MALE,Masters,exec-managerial,basketball,1/28/2015,Single Vehicle Collision,Front Collision,NY,Springfield,7705 Best Ridge,4,73500,7350,14700,51450,Jeep,Wrangler,1999
30.92,52,740505,10/12/1997,IL,250/500,1000,1242.96,7000000,FEMALE,High School,other-service,paintball,2/22/2015,Multi-vehicle Collision,Rear Collision,NY,Riverwood,5838 Pine Lane,2,88920,6840,13680,68400,Accura,RSX,2010
28.58,52,629663,1/21/2002,IL,500/1000,1000,1053.02,0,FEMALE,Associate,prof-specialty,bungie-jumping,2/16/2015,Single Vehicle Collision,Front Collision,NY,Arlington,7331 Sky Hwy,2,47630,12990,4330,30310,Toyota,Corolla,2005
31.42,53,839884,9/2/1996,IL,100/300,500,1693.63,0,FEMALE,MD,craft-repair,kayaking,2/17/2015,Multi-vehicle Collision,Front Collision,WV,Hillsdale,5640 Embaracadero Lane,10,59040,6560,6560,45920,Saab,93,2015
12.83,37,241562,1/28/2010,IL,250/500,1000,2047.59,0,FEMALE,MD,farming-fishing,dancing,1/9/2015,Single Vehicle Collision,Rear Collision,SC,Columbus,9610 Cherokee St,2,79530,14460,7230,57840,Accura,MDX,2000
13.83,34,405533,10/3/2014,OH,100/300,1000,1083.72,0,FEMALE,High School,machine-op-inspct,base-jumping,2/9/2015,Single Vehicle Collision,Side Collision,NY,Columbus,3550 Washington Ave,18,53680,4880,4880,43920,Honda,CRV,2005
24.83,46,667021,5/2/2007,OH,500/1000,1000,1138.42,6000000,MALE,JD,prof-specialty,dancing,2/16/2015,Single Vehicle Collision,Side Collision,SC,Arlington,5277 Texas Lane,18,33550,3050,6100,24400,Volkswagen,Passat,2005
19.58,42,511621,9/22/1990,IN,250/500,500,1072.62,0,FEMALE,Masters,machine-op-inspct,exercise,2/18/2015,Multi-vehicle Collision,Side Collision,WV,Springfield,3654 Cherokee Ave,7,69100,6910,6910,55280,Toyota,Highlander,2006
14.33,35,476923,9/19/2004,IL,100/300,2000,1219.04,0,MALE,MD,handlers-cleaners,paintball,1/11/2015,Multi-vehicle Collision,Rear Collision,OH,Hillsdale,7380 5th Hwy,19,79750,14500,14500,50750,Nissan,Pathfinder,1999
2.25,28,735822,8/28/1995,IN,100/300,2000,1371.78,0,MALE,JD,farming-fishing,polo,2/4/2015,Multi-vehicle Collision,Front Collision,PA,Riverwood,2539 Embaracadero Ridge,10,53600,5360,10720,37520,Audi,A5,2015
35.67,54,492745,2/4/2004,IN,100/300,2000,1506.21,0,MALE,Masters,transport-moving,kayaking,1/22/2015,Multi-vehicle Collision,Side Collision,NY,Riverwood,4693 Lincoln Hwy,16,76560,12760,6380,57420,Nissan,Ultima,2009
8.25,32,130930,7/23/2014,IN,100/300,1000,1058.21,3000000,MALE,JD,craft-repair,golf,1/10/2015,Single Vehicle Collision,Front Collision,NY,Arlington,2376 Sky Ridge,17,41130,4570,4570,31990,Dodge,RAM,1999
8.92,26,261119,3/21/1997,IL,500/1000,2000,932.14,0,MALE,MD,sales,cross-fit,1/10/2015,Multi-vehicle Collision,Rear Collision,SC,Columbus,1273 Rock Lane,2,78650,14300,7150,57200,Audi,A3,1996
22.67,41,280709,5/6/1991,OH,500/1000,2000,1608.34,0,FEMALE,Associate,farming-fishing,reading,2/16/2015,Single Vehicle Collision,Side Collision,NY,Springfield,8281 Lincoln Lane,19,71060,6460,12920,51680,Saab,92x,2010
12.58,37,898573,8/7/1992,IN,500/1000,1000,1728.56,0,FEMALE,Masters,farming-fishing,dancing,2/8/2015,Single Vehicle Collision,Front Collision,WV,Northbrook,6429 4th Hwy,0,38830,3530,3530,31770,Suburu,Legacy,1999
20.75,43,547802,9/3/2013,IL,250/500,1000,1518.46,0,FEMALE,MD,armed-forces,cross-fit,1/26/2015,Single Vehicle Collision,Front Collision,SC,Riverwood,2201 4th Lane,16,53500,5350,5350,42800,Saab,92x,2015
14.75,38,600845,1/5/2012,IL,100/300,2000,1540.19,0,FEMALE,College,adm-clerical,skydiving,2/1/2015,Single Vehicle Collision,Front Collision,VA,Columbus,5506 Best St,20,73700,7370,7370,58960,Chevrolet,Silverado,2001
15.83,40,390381,1/27/2007,OH,500/1000,2000,965.21,0,FEMALE,JD,exec-managerial,camping,2/2/2015,Parked Car,?,SC,Hillsdale,8404 Embaracadero St,10,6300,630,630,5040,Nissan,Ultima,2001
14.50,36,629918,10/14/2005,IL,100/300,2000,1278.75,0,FEMALE,College,tech-support,paintball,2/6/2015,Multi-vehicle Collision,Rear Collision,NY,Riverwood,2117 Lincoln Hwy,21,65400,10900,10900,43600,Dodge,RAM,2012
7.92,28,208298,11/3/1990,OH,250/500,1000,773.99,0,MALE,Associate,armed-forces,board-games,1/1/2015,Vehicle Theft,?,PA,Springfield,6359 MLK Ridge,3,3200,640,320,2240,Mercedes,E400,2014
30.92,51,513099,10/15/2005,IN,500/1000,1000,1532.47,0,FEMALE,Associate,tech-support,golf,1/19/2015,Single Vehicle Collision,Rear Collision,NY,Arlington,9751 Sky Ridge,7,75400,7540,15080,52780,Dodge,RAM,2012
0.17,28,184938,5/22/1999,IL,250/500,1000,1340.56,0,FEMALE,JD,machine-op-inspct,golf,1/17/2015,Single Vehicle Collision,Side Collision,NY,Northbend,9020 Elm Ave,19,58140,6460,6460,45220,Saab,92x,2008
22.42,44,187775,12/21/2002,OH,100/300,500,1297.75,4000000,FEMALE,JD,other-service,chess,2/1/2015,Multi-vehicle Collision,Rear Collision,SC,Columbus,1830 Sky St,15,98670,15180,15180,68310,Chevrolet,Tahoe,2010
8.42,27,326322,2/10/2007,IL,250/500,1000,433.33,0,MALE,Masters,machine-op-inspct,golf,1/2/2015,Parked Car,?,SC,Hillsdale,6067 Weaver Ridge,7,5900,1180,590,4130,Mercedes,E400,2009
7.83,30,146138,3/1/2002,IN,250/500,2000,1025.54,0,FEMALE,High School,armed-forces,paintball,2/20/2015,Single Vehicle Collision,Rear Collision,NC,Arlington,1840 Embaracadero Ave,19,64100,6410,6410,51280,Chevrolet,Malibu,2001
9.75,28,336047,4/21/2003,OH,250/500,500,1264.77,0,FEMALE,Associate,transport-moving,yachting,2/5/2015,Multi-vehicle Collision,Rear Collision,SC,Springfield,4058 Tree Drive,13,55440,5040,10080,40320,Suburu,Forrestor,2009
9.25,27,532330,9/22/2002,OH,250/500,500,1459.97,5000000,MALE,MD,sales,yachting,2/27/2015,Multi-vehicle Collision,Side Collision,SC,Northbend,4983 MLK Ridge,2,80850,7350,14700,58800,Ford,F150,2011
20.17,40,118137,2/10/1998,OH,100/300,500,1238.65,0,FEMALE,High School,transport-moving,bungie-jumping,1/27/2015,Vehicle Theft,?,WV,Springfield,9744 Texas Drive,5,7480,680,680,6120,Saab,95,1998
36.67,61,212674,9/1/1992,OH,250/500,500,1050.76,0,MALE,PhD,transport-moving,movies,1/26/2015,Single Vehicle Collision,Side Collision,OH,Riverwood,8821 Elm St,21,53640,5960,5960,41720,Nissan,Maxima,2004
1.67,23,935596,5/1/1999,OH,500/1000,1000,1711.72,0,FEMALE,JD,tech-support,base-jumping,1/13/2015,Multi-vehicle Collision,Rear Collision,SC,Northbrook,2886 Tree Ridge,21,63250,5750,11500,46000,Chevrolet,Tahoe,2002
38.42,57,737593,12/19/1997,IL,100/300,500,865.33,7000000,FEMALE,High School,farming-fishing,golf,1/14/2015,Multi-vehicle Collision,Side Collision,NY,Hillsdale,5236 Weaver Drive,7,59040,9840,9840,39360,Dodge,RAM,1995
17.33,36,812025,6/18/2000,IL,250/500,500,1153.49,0,MALE,Associate,craft-repair,base-jumping,2/22/2015,Multi-vehicle Collision,Side Collision,SC,Arlington,5862 Apache Ridge,16,50500,10100,5050,35350,Accura,TL,2004
23.25,43,168151,4/24/1995,OH,500/1000,2000,1281.25,0,MALE,Associate,machine-op-inspct,cross-fit,1/17/2015,Single Vehicle Collision,Side Collision,SC,Columbus,7859 4th Ridge,13,57690,6410,12820,38460,Mercedes,C300,2010
20.33,40,594739,6/16/2006,IL,100/300,500,1342.8,0,FEMALE,MD,sales,base-jumping,2/2/2015,Vehicle Theft,?,NY,Springfield,6259 Weaver St,2,5940,660,660,4620,Toyota,Camry,2014
11.17,30,843227,9/28/2007,OH,250/500,2000,1443.32,0,FEMALE,PhD,exec-managerial,dancing,1/7/2015,Multi-vehicle Collision,Rear Collision,SC,Northbend,9980 Lincoln Ave,19,47790,5310,5310,37170,Suburu,Impreza,1995
10.17,29,283925,11/21/1991,OH,250/500,1000,1629.94,0,FEMALE,Masters,priv-house-serv,skydiving,2/2/2015,Parked Car,?,SC,Riverwood,7828 Cherokee Ave,17,3850,350,350,3150,Dodge,Neon,2014
13.00,31,475588,9/21/1996,IL,100/300,2000,1134.08,0,MALE,PhD,other-service,reading,2/7/2015,Single Vehicle Collision,Front Collision,NC,Arlington,5812 Oak St,3,59000,5900,5900,47200,Ford,Fusion,2013
19.33,43,751905,5/16/2001,OH,250/500,500,1483.91,8000000,MALE,College,machine-op-inspct,golf,1/18/2015,Multi-vehicle Collision,Rear Collision,NY,Arlington,2318 Washington Hwy,17,70600,7060,14120,49420,Volkswagen,Passat,2013
20.33,40,226725,8/11/1999,IN,500/1000,2000,1304.67,7000000,MALE,Masters,armed-forces,base-jumping,1/10/2015,Multi-vehicle Collision,Side Collision,SC,Hillsdale,8809 Flute St,5,61490,5590,11180,44720,Dodge,RAM,2001
7.00,30,942504,6/16/2003,IL,500/1000,2000,1035.79,0,FEMALE,MD,protective-serv,kayaking,1/30/2015,Single Vehicle Collision,Side Collision,SC,Northbend,3184 Oak Ave,9,57640,5240,10480,41920,Volkswagen,Passat,2010
32.83,57,395572,3/30/1999,IL,250/500,500,1401.2,0,FEMALE,High School,craft-repair,movies,1/25/2015,Vehicle Theft,?,NC,Hillsdale,6493 Lincoln Lane,9,6890,1060,1060,4770,Audi,A5,1999
20.50,45,889883,2/3/1999,IL,250/500,1000,1665.45,0,MALE,JD,machine-op-inspct,hiking,1/29/2015,Multi-vehicle Collision,Side Collision,PA,Columbus,7162 Maple Ave,9,53280,11840,5920,35520,Toyota,Camry,2006
2.92,29,818167,8/25/2011,IN,500/1000,2000,653.66,0,FEMALE,JD,handlers-cleaners,video-games,2/24/2015,Multi-vehicle Collision,Rear Collision,SC,Springfield,5455 Tree Ridge,22,78300,15660,7830,54810,BMW,X5,2009
13.00,37,277767,6/28/2010,OH,100/300,500,1080.13,0,MALE,Associate,protective-serv,reading,1/4/2015,Multi-vehicle Collision,Rear Collision,PA,Springfield,5778 Pine Ridge,15,41490,4610,4610,32270,Nissan,Pathfinder,2001
16.25,36,842618,11/6/2001,IN,100/300,2000,1346.18,0,FEMALE,Associate,machine-op-inspct,camping,2/25/2015,Multi-vehicle Collision,Front Collision,SC,Hillsdale,3797 Solo Lane,14,68970,12540,6270,50160,Chevrolet,Tahoe,2007
30.75,55,577810,4/15/2013,OH,250/500,2000,1589.54,0,MALE,College,handlers-cleaners,camping,1/27/2015,Multi-vehicle Collision,Rear Collision,VA,Arlington,9373 Pine Hwy,6,85300,17060,8530,59710,Toyota,Highlander,2003
22.58,40,873114,12/7/1995,IL,100/300,1000,1251.65,0,FEMALE,Associate,other-service,camping,2/19/2015,Parked Car,?,NY,Hillsdale,1365 Francis Ave,6,3080,560,280,2240,Audi,A3,2012
27.67,47,994538,11/1/1991,IL,100/300,2000,1083.01,0,MALE,MD,craft-repair,paintball,1/31/2015,Multi-vehicle Collision,Front Collision,WV,Arlington,9239 Washington Ridge,22,71760,11040,11040,49680,Jeep,Grand Cherokee,2010
8.92,26,727792,5/19/2014,OH,100/300,500,974.59,0,FEMALE,JD,armed-forces,skydiving,1/18/2015,Multi-vehicle Collision,Rear Collision,NY,Arlington,3416 Washington Drive,14,59700,11940,11940,35820,Nissan,Ultima,2002
18.08,39,522506,3/15/1992,IL,500/1000,2000,1399.85,0,FEMALE,Masters,other-service,skydiving,1/10/2015,Multi-vehicle Collision,Front Collision,NY,Columbus,1923 2nd Hwy,16,64920,10820,10820,43280,Ford,Fusion,1997
20.25,43,367595,2/3/2006,IN,500/1000,500,1307.74,0,FEMALE,Associate,machine-op-inspct,board-games,1/28/2015,Multi-vehicle Collision,Front Collision,SC,Riverwood,6451 1st Hwy,10,37530,4170,4170,29190,Jeep,Wrangler,2008
24.67,42,586104,3/16/2003,IN,250/500,2000,1219.27,0,MALE,Associate,tech-support,paintball,2/16/2015,Multi-vehicle Collision,Side Collision,WV,Columbus,1267 Francis Hwy,9,64080,7120,7120,49840,Saab,93,2012
22.00,41,424862,10/16/2002,OH,100/300,500,1411.3,0,MALE,PhD,prof-specialty,cross-fit,2/8/2015,Single Vehicle Collision,Rear Collision,PA,Northbrook,4158 Washington Lane,4,60390,10980,5490,43920,BMW,M5,2004
9.00,33,512813,1/27/1990,IL,100/300,2000,694.45,0,FEMALE,JD,armed-forces,exercise,1/20/2015,Multi-vehicle Collision,Side Collision,WV,Northbend,3796 Cherokee Drive,6,64350,5850,11700,46800,Nissan,Pathfinder,2011
2.67,38,356768,3/11/2010,IL,100/300,500,1006.77,6000000,FEMALE,College,other-service,sleeping,2/6/2015,Multi-vehicle Collision,Side Collision,SC,Northbend,7434 Oak Hwy,15,70900,14180,7090,49630,BMW,X6,1997
21.58,39,330506,9/19/1995,OH,250/500,1000,1422.36,0,FEMALE,JD,craft-repair,movies,1/24/2015,Multi-vehicle Collision,Side Collision,PA,Columbus,5178 Weaver Hwy,12,46560,7760,7760,31040,Nissan,Ultima,2012
15.50,33,779075,2/27/2010,IN,100/300,1000,1348.32,0,FEMALE,Associate,craft-repair,cross-fit,1/14/2015,Vehicle Theft,?,NY,Arlington,8477 Francis Hwy,3,4730,860,860,3010,Chevrolet,Malibu,2013
16.75,40,799501,12/28/1991,OH,250/500,2000,1315.56,0,FEMALE,PhD,transport-moving,video-games,2/18/2015,Vehicle Theft,?,SC,Northbrook,7693 Britain Lane,14,6820,1240,1240,4340,Jeep,Grand Cherokee,2003
36.33,58,987905,4/30/2002,OH,250/500,2000,1407.01,5000000,MALE,PhD,tech-support,sleeping,1/10/2015,Single Vehicle Collision,Rear Collision,WV,Riverwood,3658 Rock Drive,10,59900,11980,5990,41930,BMW,X5,1997
15.75,36,967756,4/28/2007,OH,250/500,2000,1388.58,0,FEMALE,MD,priv-house-serv,basketball,2/13/2015,Multi-vehicle Collision,Side Collision,WV,Riverwood,2617 Andromedia Drive,17,79560,13260,13260,53040,Ford,Escape,2009
8.75,33,830414,7/8/1996,IL,500/1000,500,1310.76,0,FEMALE,High School,adm-clerical,kayaking,2/17/2015,Single Vehicle Collision,Front Collision,VA,Northbrook,9279 Oak Hwy,8,70290,12780,6390,51120,Accura,MDX,2008
13.58,31,127313,4/1/2002,IN,100/300,1000,1004.63,6000000,MALE,JD,priv-house-serv,hiking,1/7/2015,Multi-vehicle Collision,Rear Collision,SC,Hillsdale,3439 Andromedia Hwy,14,63910,5810,11620,46480,Suburu,Forrestor,1999
18.25,40,786957,10/29/2006,OH,100/300,500,1134.91,0,FEMALE,Associate,transport-moving,golf,1/29/2015,Vehicle Theft,?,SC,Riverwood,5901 Elm Drive,6,6400,640,640,5120,Toyota,Camry,1997
7.33,25,332892,10/25/2007,IN,250/500,1000,1194,0,FEMALE,JD,handlers-cleaners,movies,2/13/2015,Single Vehicle Collision,Rear Collision,SC,Northbrook,3982 Washington Hwy,6,66780,7420,7420,51940,Ford,Escape,2013
3.33,39,448642,3/28/2001,IN,500/1000,1000,1248.25,4000000,FEMALE,College,sales,hiking,2/1/2015,Parked Car,?,VA,Northbrook,3376 5th Drive,8,8760,1460,1460,5840,BMW,3 Series,2013
23.67,42,526039,5/4/1995,OH,100/300,500,1338.54,-1000000,MALE,Associate,machine-op-inspct,kayaking,1/29/2015,Single Vehicle Collision,Side Collision,NC,Arlington,3936 Tree Drive,13,94160,8560,17120,68480,Chevrolet,Malibu,1996
4.92,40,444422,9/28/2011,IL,250/500,2000,782.23,0,MALE,College,protective-serv,golf,2/6/2015,Multi-vehicle Collision,Front Collision,OH,Springfield,6605 Tree Ave,0,51570,5730,11460,34380,BMW,X5,2010
3.25,31,689500,1/28/2003,IL,250/500,2000,1366.9,0,FEMALE,High School,handlers-cleaners,polo,1/28/2015,Multi-vehicle Collision,Rear Collision,NC,Northbend,3102 Apache St,14,52700,10540,10540,31620,BMW,X6,2014
12.25,34,806081,2/1/2011,IL,500/1000,1000,1275.81,0,MALE,High School,sales,dancing,1/21/2015,Single Vehicle Collision,Side Collision,NY,Columbus,7756 Pine Hwy,13,101010,15540,15540,69930,Mercedes,ML350,1998
13.00,37,384618,2/9/1993,IN,250/500,500,1090.65,0,MALE,High School,exec-managerial,golf,1/16/2015,Multi-vehicle Collision,Rear Collision,NC,Columbus,7142 5th Lane,16,53400,5340,5340,42720,Honda,Civic,2010
10.25,31,756459,8/5/2005,IN,250/500,500,1326,0,FEMALE,Associate,prof-specialty,basketball,2/17/2015,Single Vehicle Collision,Side Collision,SC,Northbrook,2914 Oak Drive,13,72120,12020,12020,48080,Mercedes,ML350,2009
19.25,43,655787,6/17/2006,IL,250/500,2000,972.47,0,MALE,College,protective-serv,reading,2/1/2015,Multi-vehicle Collision,Front Collision,PA,Hillsdale,6522 Apache Drive,15,77100,7710,15420,53970,Audi,A3,2010
20.58,39,419954,12/7/1993,IL,100/300,500,806.31,0,FEMALE,College,handlers-cleaners,dancing,2/25/2015,Parked Car,?,SC,Northbend,5279 Pine Ridge,3,3300,600,0,2700,Dodge,RAM,2003
16.17,35,275092,3/14/2012,IL,500/1000,500,1416.24,0,FEMALE,MD,adm-clerical,golf,2/26/2015,Parked Car,?,WV,Northbend,8078 Britain Hwy,7,5940,1080,540,4320,Nissan,Pathfinder,2003
9.92,27,515698,8/5/1997,IN,250/500,2000,1097.64,0,MALE,High School,transport-moving,video-games,2/6/2015,Multi-vehicle Collision,Rear Collision,PA,Northbend,1133 Apache St,16,63720,7080,21240,35400,Accura,TL,2006
21.58,43,132871,7/5/2009,IL,100/300,500,947.75,0,FEMALE,Masters,farming-fishing,base-jumping,2/3/2015,Vehicle Theft,?,SC,Riverwood,2873 Flute Ave,15,7680,1280,640,5760,Audi,A5,2008
8.92,31,714929,11/25/1994,IL,100/300,2000,1018.73,5000000,MALE,Associate,handlers-cleaners,yachting,1/27/2015,Multi-vehicle Collision,Side Collision,NY,Riverwood,8509 Apache St,21,93730,14420,21630,57680,Honda,CRV,2001
4.00,44,297816,2/3/1997,IL,100/300,2000,1400.74,0,MALE,College,sales,base-jumping,1/21/2015,Multi-vehicle Collision,Rear Collision,NC,Arlington,8245 4th Hwy,23,87300,17460,17460,52380,Jeep,Wrangler,2013
22.25,40,426708,10/9/2009,IL,250/500,500,1155.53,5000000,MALE,JD,transport-moving,camping,1/24/2015,Parked Car,?,NY,Columbus,3094 Best Lane,5,5670,1260,630,3780,Ford,F150,1997
23.83,47,615047,11/20/2002,IN,250/500,500,1386.93,0,MALE,High School,priv-house-serv,bungie-jumping,1/17/2015,Multi-vehicle Collision,Rear Collision,NY,Springfield,8188 Tree Ave,15,65800,13160,6580,46060,Accura,TL,2001
14.58,34,771236,5/29/1995,OH,100/300,500,915.29,0,FEMALE,JD,handlers-cleaners,base-jumping,2/23/2015,Single Vehicle Collision,Front Collision,NY,Arlington,5224 5th Lane,14,36720,4080,4080,28560,Honda,Accord,2009
9.25,29,235869,1/22/2011,IL,250/500,500,1239.55,2000000,FEMALE,PhD,farming-fishing,kayaking,1/9/2015,Single Vehicle Collision,Side Collision,SC,Riverwood,2230 1st St,1,52800,4800,9600,38400,Mercedes,ML350,1996
12.58,37,931625,10/18/2012,IN,250/500,500,1366.42,0,FEMALE,Associate,protective-serv,cross-fit,2/15/2015,Multi-vehicle Collision,Rear Collision,SC,Arlington,6719 Flute St,14,59100,5910,5910,47280,Nissan,Maxima,1998
13.00,37,371635,10/13/1991,OH,500/1000,1000,1086.48,6000000,MALE,Associate,machine-op-inspct,hiking,1/16/2015,Multi-vehicle Collision,Rear Collision,NY,Northbrook,8064 4th Ave,17,77440,14080,7040,56320,Suburu,Legacy,1999
13.75,36,427199,10/1/2010,IL,250/500,2000,1247.87,0,MALE,Masters,armed-forces,golf,1/14/2015,Multi-vehicle Collision,Side Collision,NY,Northbend,2469 Francis Lane,20,45700,4570,4570,36560,BMW,3 Series,2008
21.08,41,261315,4/10/2013,OH,100/300,2000,1312.75,0,FEMALE,PhD,sales,dancing,1/1/2015,Multi-vehicle Collision,Rear Collision,SC,Springfield,4671 5th Ridge,10,80740,7340,14680,58720,Toyota,Camry,2014
0.83,26,582973,6/11/2008,IN,100/300,2000,765.64,0,MALE,MD,sales,base-jumping,2/16/2015,Multi-vehicle Collision,Front Collision,SC,Northbrook,6985 Maple Lane,3,31350,2850,5700,22800,Honda,Accord,2001
13.17,33,278091,12/4/2013,OH,100/300,2000,1327.41,0,FEMALE,Associate,handlers-cleaners,skydiving,1/4/2015,Single Vehicle Collision,Side Collision,SC,Hillsdale,7791 Britain Ridge,0,35000,3500,7000,24500,Suburu,Legacy,2012
36.33,59,153154,8/21/2010,OH,500/1000,1000,1338.55,0,MALE,PhD,protective-serv,board-games,1/12/2015,Multi-vehicle Collision,Side Collision,WV,Hillsdale,6355 4th Hwy,10,68000,13600,6800,47600,Toyota,Corolla,2014
7.58,30,515217,6/18/2010,IL,250/500,2000,1316.63,8000000,FEMALE,Masters,machine-op-inspct,golf,1/8/2015,Multi-vehicle Collision,Side Collision,SC,Northbend,3495 Britain Drive,13,84500,13000,13000,58500,BMW,X6,2009
21.33,42,860497,4/10/1992,IL,500/1000,1000,1286.44,0,FEMALE,MD,transport-moving,bungie-jumping,1/22/2015,Single Vehicle Collision,Rear Collision,WV,Northbend,2980 Sky Ridge,14,75500,7550,15100,52850,Nissan,Ultima,1998
22.83,46,351741,2/3/1997,OH,500/1000,1000,1372.18,0,MALE,High School,exec-managerial,bungie-jumping,1/13/2015,Multi-vehicle Collision,Side Collision,WV,Riverwood,5914 Oak Ave,22,90600,15100,15100,60400,BMW,X5,2009
22.92,45,403737,12/6/1991,IN,500/1000,2000,1447.77,0,FEMALE,Associate,adm-clerical,camping,1/18/2015,Multi-vehicle Collision,Side Collision,VA,Northbend,3835 5th Ave,8,64320,5360,10720,48240,Accura,MDX,1998
0.08,33,162004,9/19/1995,IL,250/500,500,903.32,0,FEMALE,High School,transport-moving,yachting,1/19/2015,Multi-vehicle Collision,Rear Collision,NY,Northbend,5925 Tree Hwy,1,31700,6340,3170,22190,Toyota,Highlander,2006
7.08,30,740384,10/29/1993,IN,500/1000,1000,1454.42,0,MALE,Associate,protective-serv,reading,1/31/2015,Single Vehicle Collision,Side Collision,NY,Springfield,6250 1st Ridge,19,74280,12380,12380,49520,Suburu,Forrestor,2006
19.42,37,876714,11/3/1991,IL,100/300,2000,1603.42,0,FEMALE,High School,sales,video-games,2/6/2015,Single Vehicle Collision,Front Collision,NY,Columbus,1346 5th Lane,17,80520,13420,6710,60390,Toyota,Corolla,2005
11.83,30,951543,7/9/2002,IN,250/500,2000,1616.58,0,MALE,JD,adm-clerical,polo,2/4/2015,Multi-vehicle Collision,Rear Collision,SC,Hillsdale,1128 Maple Lane,13,63600,6360,12720,44520,Dodge,RAM,2010
22.17,44,576723,12/7/1999,IL,250/500,500,1611.83,0,MALE,High School,handlers-cleaners,movies,1/2/2015,Single Vehicle Collision,Front Collision,WV,Riverwood,6309 Cherokee Ave,4,32800,3280,3280,26240,BMW,3 Series,2012
29.17,50,391003,7/1/2005,OH,500/1000,500,889.13,0,FEMALE,Masters,priv-house-serv,board-games,2/26/2015,Multi-vehicle Collision,Rear Collision,PA,Northbend,4618 Flute Ave,14,44190,9820,4910,29460,Audi,A3,2015
8.08,26,225865,11/4/1991,IL,250/500,1000,1252.08,0,MALE,College,exec-managerial,sleeping,2/8/2015,Multi-vehicle Collision,Rear Collision,VA,Springfield,6191 Oak Lane,4,50400,10080,5040,35280,Honda,CRV,2000
33.25,55,984948,4/14/1993,IL,500/1000,2000,995.56,0,MALE,JD,tech-support,sleeping,2/7/2015,Multi-vehicle Collision,Side Collision,NY,Northbend,1316 Britain Ridge,23,88400,17680,8840,61880,Nissan,Pathfinder,2010
25.42,49,890328,8/23/2009,IL,100/300,2000,1347.92,0,FEMALE,High School,farming-fishing,bungie-jumping,2/17/2015,Multi-vehicle Collision,Front Collision,NY,Hillsdale,5924 Maple Drive,21,66550,12100,6050,48400,Volkswagen,Jetta,2003
23.00,47,803294,6/18/1993,IN,100/300,1000,1724.09,0,MALE,PhD,craft-repair,yachting,1/12/2015,Multi-vehicle Collision,Rear Collision,NY,Arlington,8917 Tree Ridge,23,65780,5980,11960,47840,Chevrolet,Tahoe,2014
21.42,40,414913,7/17/2012,IN,250/500,500,1379.93,0,MALE,MD,armed-forces,base-jumping,2/1/2015,Multi-vehicle Collision,Side Collision,NY,Columbus,3966 Francis Ridge,6,51810,9420,4710,37680,Audi,A3,2002
6.50,31,414519,1/25/1999,IN,250/500,1000,1554.64,4000000,MALE,PhD,protective-serv,board-games,2/3/2015,Single Vehicle Collision,Front Collision,WV,Springfield,1507 Solo Ave,21,55660,5060,10120,40480,Honda,CRV,2009
10.75,28,818413,2/23/1990,OH,500/1000,1000,1377.94,0,MALE,Masters,machine-op-inspct,base-jumping,2/21/2015,Single Vehicle Collision,Side Collision,NY,Springfield,4272 Oak Ridge,23,44640,9920,4960,29760,Toyota,Camry,2005
23.58,46,487356,8/30/2000,IL,500/1000,2000,1313.33,0,FEMALE,PhD,transport-moving,reading,1/9/2015,Multi-vehicle Collision,Front Collision,NY,Riverwood,4434 Lincoln Ave,3,77660,7060,14120,56480,Nissan,Maxima,2004
7.08,25,159768,9/3/2008,IN,250/500,500,1259.02,0,FEMALE,JD,tech-support,base-jumping,2/16/2015,Parked Car,?,SC,Northbend,7529 Solo Ridge,8,5640,940,940,3760,Nissan,Ultima,2005
8.42,26,865839,8/2/1991,IL,500/1000,1000,1371.88,0,FEMALE,MD,prof-specialty,reading,2/4/2015,Parked Car,?,VA,Arlington,8096 Apache Hwy,4,3190,580,580,2030,Suburu,Legacy,1995
8.00,30,406567,9/25/2001,OH,100/300,500,1399.27,6000000,MALE,College,prof-specialty,hiking,2/24/2015,Single Vehicle Collision,Side Collision,NC,Arlington,9417 Tree Hwy,22,53440,0,6680,46760,Ford,Escape,2004
10.08,31,623032,3/11/2007,IL,500/1000,1000,1061.98,6000000,FEMALE,JD,armed-forces,camping,2/1/2015,Single Vehicle Collision,Rear Collision,WV,Hillsdale,3809 Texas Lane,16,65250,7250,7250,50750,BMW,3 Series,2002
14.67,39,935442,11/20/2010,OH,250/500,500,1365.46,4000000,MALE,College,armed-forces,sleeping,2/5/2015,Multi-vehicle Collision,Side Collision,SC,Columbus,1540 Apache Lane,14,44280,4920,4920,34440,Chevrolet,Silverado,2008
